framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,16384,3072,1536,8,256,8,8,power_law_1.01,4.041729431152343
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,8192,4096,14336,2,8,16,4,balanced,1.266329574584961
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,1536,7168,2048,8,384,2,32,power_law_1.01,1.4610214233398438
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,1024,6144,16384,2,8,16,2,power_law_1.01,0.6420543670654297
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,512,7168,2048,8,256,2,1,power_law_1.01,21.50000732421875
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,4,4096,14336,2,8,16,8,power_law_1.2,0.03843071937561035
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,192,4096,1024,10,512,32,8,power_law_1.01,0.05746687889099121
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,32,7168,2048,8,256,8,2,power_law_1.2,0.9724710083007813
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,4096,7168,2048,8,384,1,128,power_law_1.2,8.12244873046875
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,768,2688,1856,6,128,2,32,balanced,0.11392512321472167
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,6144,7168,2048,8,256,8,4,balanced,6.240905151367188
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,128,7168,2048,8,256,1,64,power_law_1.2,0.7376242828369141
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,6144,6144,2048,8,256,16,1,balanced,6.378358154296874
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,6144,2048,768,8,128,1,4,power_law_1.01,3.0873983764648436
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,1024,6144,2048,8,256,1,32,power_law_1.2,3.5927026367187502
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,8,7168,2048,8,384,2,32,power_law_1.01,0.04965760231018067
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,12288,4096,14336,2,8,4,8,power_law_1.01,16.05334228515625
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,1,4096,1536,8,128,1,1,power_law_1.2,0.03830719947814941
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,128,7168,2048,8,384,1,16,power_law_1.2,0.6558719635009765
SGLang,0.5.10,NVIDIA L40S,moe,sglang_fused_moe_triton,bfloat16,8,7168,2048,8,384,32,4,power_law_1.01,0.06600831985473633
SGLang,0.5.10,NVIDIA L40S,moe,sglang_marlin_moe,int4_wo,96,4096,14336,2,8,1,4,power_law_1.2,0.46408321380615236
