framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,128,32,0.014604799449443817
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,32,2,0.006384000182151794
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,fp8,32,8,0.006518399715423584
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,8192,64,1.102188777923584
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,1536,1,0.0063391998410224915
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,128,4,0.0061055999249219894
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,3072,128,0.8463616371154785
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,4096,32,0.228873610496521
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,80,64,0.014668799936771393
SGLang,0.5.10,NVIDIA L40S,mla_gen_pre,default,bfloat16,16,4,0.006521599739789963
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,768,8,0.012892800569534301
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,2048,8,0.027804800868034364
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,4,32,0.006950400024652481
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,512,4,0.007724799960851669
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,4,8,0.006854400038719177
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,1,16,0.00658240020275116
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,96,128,0.022361600399017335
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,64,8,0.006656000018119812
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,12288,1,0.028246399760246278
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,128,2,0.006950400024652481
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,2048,1,0.006444799900054932
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,1024,1,0.008054400235414505
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,384,64,0.0426367998123169
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,80,1,0.00650240033864975
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,4,64,0.006825599819421768
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,bfloat16,16384,2,0.023270399868488313
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,96,1,0.006441599875688553
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,32,8,0.006982400268316269
SGLang,0.5.10,NVIDIA L40S,mla_gen_post,default,fp8,128,8,0.008252800256013871
