framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,512,512,8192,0.030064000023735896
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,160,768,3072,0.007887110941939885
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,769,3584,51200,0.4674764209323459
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,1537,6144,10240,0.24019734064737955
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,1280,8192,2048,0.05886933538648817
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,3328,64,1024,0.005758222192525864
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,1280,8192,10240,0.21660710705651176
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,2560,1536,65536,0.6850586467319064
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,512,7168,12288,0.07932266924116346
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,96,3584,4096,0.014000000225173103
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,48,16384,768,0.010454222559928894
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,1,3584,2048,0.008398222426573435
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,3329,16384,4096,0.5550595389472114
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,48,4096,7168,0.02757955590883891
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,97,128,256,0.0034053333931499054
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,96,12288,64,0.008700444466537898
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,bfloat16,64,5120,1024,0.0074346669846110875
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,3585,6144,256,0.033999999364217125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8,2305,3072,10240,0.19318666723039415
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,9,51200,2560,0.052096890078650586
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,256,6144,5120,0.025574222207069397
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,2816,51200,1024,0.24999022483825684
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,10,1024,2048,0.006832888970772426
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,2049,10240,512,0.03309066759215461
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,16384,4096,12288,1.6893413331773546
SGLang,0.5.10,NVIDIA H100 80GB HBM3,gemm,sglang,fp8_block,32768,8192,8192,3.9576089647081165
