framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,3073,512,768,0.009313777916961247
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,225,16384,12288,0.03799466623200311
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,1536,51200,51200,3.049423005845812
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,257,4096,1536,0.016499555773205228
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,3584,128,768,0.013418667018413544
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,2560,1024,2048,0.013044444223244986
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,12,32,256,0.005212444398138259
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,112,4096,4096,0.008650666309727563
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,65,512,5120,0.008959111240175035
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,1280,10240,51200,0.3507377836439345
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,12,1024,8192,0.010980444649855295
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,128,3072,256,0.005612444546487596
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,32768,1024,32,0.012893333203262754
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,225,1536,7168,0.012181333369678922
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,3073,2048,2048,0.018050667312410142
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,32768,768,65536,2.831603580050998
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,16384,12288,7168,2.0393049452039933
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8,1536,2560,6144,0.03473866648144192
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,32,12288,2560,0.028007109959920246
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,49,2560,1536,0.003918222255176968
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,bfloat16,2048,4096,12288,0.11752088864644368
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,192,65536,10240,0.09448177946938409
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,2304,8192,16384,0.25376444392734104
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,3840,6144,65536,1.353823979695638
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,81,51200,6144,0.09846399890051948
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,nvfp4,10,2560,128,0.0052168890833854675
SGLang,0.5.10,NVIDIA B300 SXM6 AC,gemm,sglang,fp8_block,2048,1536,128,0.0159262220064799
